WARNING: ./../insMemory.v:7: $readmemb(/home/mgtm/Verilog/Mips/biteCode/verilogRunFile.txt): Not enough words in the file for the requested range [0:32767].
[Reg Init]    00000000000000000000000000000000, 00000000000000000000000000000001, 00000000000000000000000000000010, 00000000000000000000000000000011, 00000000000000000000000000000100, 00000000000000000000000000000101, 00000000000000000000000000000110, 00000000000000000000000000000111, 00000000000000000000000000001000, 10000000000000000000000000000000, 00000000000000000000000000001010, 00000000000000000000000000001011, 00000000000000000000000000001100, 00000000000000000000000000001101, 00000000000000000000000000001110, 00000000000000000000000000001111, 00000000000000000000000000010000, 00000000000000000000000000010001, 00000000000000000000000000010010, 00000000000000000000000000010011, 00000000000000000000000000010100, 00000000000000000000000000010101, 00000000000000000000000000010110, 00000000000000000000000000010111, 00000000000000000000000000011000, 00000000000000000000000000011001, 00000000000000000000000000011010, 00000000000000000000000000011011, 00000000000000000000000000011100, 00000000000000000111111111111100, 00000000000000000000000000011110, 00000000000000000000000000011111, 
[IF stage]    clk: 0, PC:0, Flush:0,
[ID stage]    clk: 0, PC:x, Flush:x,
[EXE stage]   clk: 0, PC:x, Flush:x,
[MEM stage]   clk: 0, PC:x, write:0, Flush:x,
[WB stage]    clk: 0, PC:x, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 1, PC:4, Flush:0,
[ID stage]    clk: 1, PC:0, Flush:0,
[EXE stage]   clk: 1, PC:x, Flush:x,
[MEM stage]   clk: 1, PC:x, write:0, Flush:x,
[WB stage]    clk: 1, PC:x, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 2, PC:8, Flush:0,
[ID stage]    clk: 2, PC:4, Flush:0,
[EXE stage]   clk: 2, PC:0, Flush:0,
[MEM stage]   clk: 2, PC:x, write:0, Flush:x,
[WB stage]    clk: 2, PC:x, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 3, PC:12, Flush:0,
[ID stage]    clk: 3, PC:8, Flush:0,
[EXE stage]   clk: 3, PC:4, Flush:0,
[MEM stage]   clk: 3, PC:0, write:1, memAdress:1, value:6, Flush:0,
[WB stage]    clk: 3, PC:x, regNumber:x, regValue:00000000000000000000000000000000, Flush:x,

[IF stage]    clk: 4, PC:16, Flush:0,
[ID stage]    clk: 4, PC:12, Flush:0,
[EXE stage]   clk: 4, PC:8, Flush:0,
[MEM stage]   clk: 4, PC:4, write:0, Flush:0,
[WB stage]    clk: 4, PC:0, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 5, PC:20, Flush:0,
[ID stage]    clk: 5, PC:16, Flush:0,
[EXE stage]   clk: 5, PC:12, Flush:0,
[MEM stage]   clk: 5, PC:8, write:0, Flush:0,
[WB stage]    clk: 5, PC:4, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 6, PC:24, Flush:0,
[ID stage]    clk: 6, PC:20, Flush:0,
[EXE stage]   clk: 6, PC:16, Flush:0,
[MEM stage]   clk: 6, PC:12, write:0, Flush:0,
[WB stage]    clk: 6, PC:8, regNumber:3, regValue:00000000000000000000000000001010, Flush:0,

[IF stage]    clk: 7, PC:28, Flush:1,
[ID stage]    clk: 7, PC:24, Flush:0,
[EXE stage]   clk: 7, PC:20, Flush:0,
[MEM stage]   clk: 7, PC:16, write:0, Flush:0,
[WB stage]    clk: 7, PC:12, regNumber:2, regValue:00000000000000000000000000001011, Flush:0,

[IF stage]    clk: 8, PC:36, Flush:0,
[ID stage]    clk: 8, PC:28, Flush:1,
[EXE stage]   clk: 8, PC:24, Flush:0,
[MEM stage]   clk: 8, PC:20, write:0, Flush:0,
[WB stage]    clk: 8, PC:16, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 9, PC:40, Flush:0,
[ID stage]    clk: 9, PC:36, Flush:0,
[EXE stage]   clk: 9, PC:28, Flush:1,
[MEM stage]   clk: 9, PC:24, write:0, Flush:0,
[WB stage]    clk: 9, PC:20, regNumber:4, regValue:00000000000000000000000000000111, Flush:0,

[IF stage]    clk: 10, PC:44, Flush:0,
[ID stage]    clk: 10, PC:40, Flush:0,
[EXE stage]   clk: 10, PC:36, Flush:0,
[MEM stage]   clk: 10, PC:28, write:0, Flush:1,
[WB stage]    clk: 10, PC:24, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 11, PC:48, Flush:0,
[ID stage]    clk: 11, PC:44, Flush:0,
[EXE stage]   clk: 11, PC:40, Flush:0,
[MEM stage]   clk: 11, PC:36, write:0, Flush:0,
[WB stage]    clk: 11, PC:28, regNumber:0, regValue:00000000000000000000000000000000, Flush:1,

[IF stage]    clk: 12, PC:52, Flush:0,
[ID stage]    clk: 12, PC:48, Flush:0,
[EXE stage]   clk: 12, PC:44, Flush:0,
[MEM stage]   clk: 12, PC:40, write:0, Flush:0,
[WB stage]    clk: 12, PC:36, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 13, PC:56, Flush:0,
[ID stage]    clk: 13, PC:52, Flush:0,
[EXE stage]   clk: 13, PC:48, Flush:0,
[MEM stage]   clk: 13, PC:44, write:0, Flush:0,
[WB stage]    clk: 13, PC:40, regNumber:4, regValue:00000000000000000000000000000001, Flush:0,

[IF stage]    clk: 14, PC:60, Flush:0,
[ID stage]    clk: 14, PC:56, Flush:0,
[EXE stage]   clk: 14, PC:52, Flush:0,
[MEM stage]   clk: 14, PC:48, write:0, Flush:0,
[WB stage]    clk: 14, PC:44, regNumber:5, regValue:00000000000000000000000000000001, Flush:0,

[syscall]     clk: 14, PC:56, output:1
[IF stage]    clk: 15, PC:64, Flush:0,
[ID stage]    clk: 15, PC:60, Flush:0,
[EXE stage]   clk: 15, PC:56, Flush:0,
[MEM stage]   clk: 15, PC:52, write:0, Flush:0,
[WB stage]    clk: 15, PC:48, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 16, PC:68, Flush:0,
[ID stage]    clk: 16, PC:64, Flush:0,
[EXE stage]   clk: 16, PC:60, Flush:0,
[MEM stage]   clk: 16, PC:56, write:0, Flush:0,
[WB stage]    clk: 16, PC:52, regNumber:0, regValue:00000000000000000000000000000000, Flush:0,

[IF stage]    clk: 17, PC:72, Flush:0,
[ID stage]    clk: 17, PC:68, Flush:0,
[EXE stage]   clk: 17, PC:64, Flush:0,
[MEM stage]   clk: 17, PC:60, write:0, Flush:0,
[WB stage]    clk: 17, PC:56, regNumber:5, regValue:00000000000000000000000000000001, Flush:0,

